	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.199808	199	8	1	1	2	1	0	1776	28	0	32.4951	 	0	0
UL	0.199837	199	8	2	7	2	1	0	12465	28	0	32.4951 	0	0
DL	0.199908	199	9	1	1	2	1	0	1776	28	0	32.4951	 	0	0
UL	0.199937	199	9	2	7	2	1	0	12465	28	0	32.4951 	0	0
DL	0.200008	200	0	1	1	2	1	0	1776	28	0	32.5046	 	0	0
UL	0.200071	200	0	2	15	2	1	0	26719	28	0	32.5046 	0	0
DL	0.200108	200	1	1	1	2	1	0	1776	28	0	32.5046	 	0	0
UL	0.200171	200	1	2	15	2	1	0	26719	28	0	32.5046 	0	0
DL	0.200208	200	2	1	1	2	1	0	1776	28	0	32.5046	 	0	0
UL	0.200283	200	2	2	18	2	1	0	32063	28	0	32.5046 	0	0
DL	0.200308	200	3	1	1	2	1	0	1776	28	0	32.5046	 	0	0
UL	0.200342	200	3	2	8	2	1	0	14247	28	0	32.5046 	0	0
DL	0.200408	200	4	1	1	2	1	0	1776	28	0	32.5046	 	0	0
UL	0.200442	200	4	2	8	2	1	0	14247	28	0	32.5046 	0	0
DL	0.200508	200	5	1	1	2	1	0	1776	28	0	32.5046	 	0	0
UL	0.200542	200	5	2	8	2	1	0	14247	28	0	32.5046 	0	0
DL	0.200608	200	6	1	1	2	1	0	1776	28	0	32.5046	 	0	0
UL	0.200637	200	6	2	7	2	1	0	12465	28	0	32.5046 	0	0
DL	0.200708	200	7	1	1	2	1	0	1776	28	0	32.5046	 	0	0
UL	0.200737	200	7	2	7	2	1	0	12465	28	0	32.5046 	0	0
DL	0.200808	200	8	1	1	2	1	0	1776	28	0	32.5046	 	0	0
UL	0.200837	200	8	2	7	2	1	0	12465	28	0	32.5046 	0	0
DL	0.200908	200	9	1	1	2	1	0	1776	28	0	32.5046	 	0	0
UL	0.200942	200	9	2	8	2	1	0	14247	28	0	32.5046 	0	0
DL	0.201008	201	0	1	1	2	1	0	1776	28	0	32.4998	 	0	0
UL	0.201071	201	0	2	15	2	1	0	26719	28	0	32.4998 	0	0
UL	0.201179	201	1	1	18	2	1	0	32063	28	0	32.4998 	0	0
DL	0.201208	201	2	1	1	2	1	0	1776	28	0	32.4998	 	0	0
UL	0.201271	201	2	2	15	2	1	0	26719	28	0	32.4998 	0	0
DL	0.201308	201	3	1	1	2	1	0	1776	28	0	32.4998	 	0	0
UL	0.201342	201	3	2	8	2	1	0	14247	28	0	32.4998 	0	0
DL	0.201408	201	4	1	1	2	1	0	1776	28	0	32.4998	 	0	0
UL	0.201442	201	4	2	8	2	1	0	14247	28	0	32.4998 	0	0
DL	0.201508	201	5	1	1	2	1	0	1776	28	0	32.4998	 	0	0
UL	0.201537	201	5	2	7	2	1	0	12465	28	0	32.4998 	0	0
DL	0.201608	201	6	1	1	2	1	0	1776	28	0	32.4998	 	0	0
UL	0.201637	201	6	2	7	2	1	0	12465	28	0	32.4998 	0	0
DL	0.201708	201	7	1	1	2	1	0	1776	28	0	32.4998	 	0	0
UL	0.201737	201	7	2	7	2	1	0	12465	28	0	32.4998 	0	0
DL	0.201808	201	8	1	1	2	1	0	1776	28	0	32.4998	 	0	0
UL	0.201842	201	8	2	8	2	1	0	14247	28	0	32.4998 	0	0
DL	0.201908	201	9	1	1	2	1	0	1776	28	0	32.4998	 	0	0
UL	0.201942	201	9	2	8	2	1	0	14247	28	0	32.4998 	0	0
DL	0.202008	202	0	1	1	2	1	0	1776	28	0	32.4788	 	0	0
UL	0.202083	202	0	2	18	2	1	0	32063	28	0	32.4788 	0	0
UL	0.202167	202	1	1	15	2	1	0	26719	28	0	32.4788 	0	0
DL	0.202208	202	2	1	1	2	1	0	1776	28	0	32.4788	 	0	0
UL	0.202271	202	2	2	15	2	1	0	26719	28	0	32.4788 	0	0
DL	0.202308	202	3	1	1	2	1	0	1776	28	0	32.4788	 	0	0
UL	0.202342	202	3	2	8	2	1	0	14247	28	0	32.4788 	0	0
DL	0.202408	202	4	1	1	2	1	0	1776	28	0	32.4788	 	0	0
UL	0.202437	202	4	2	7	2	1	0	12465	28	0	32.4788 	0	0
DL	0.202508	202	5	1	1	2	1	0	1776	28	0	32.4788	 	0	0
UL	0.202537	202	5	2	7	2	1	0	12465	28	0	32.4788 	0	0
DL	0.202608	202	6	1	1	2	1	0	1776	28	0	32.4788	 	0	0
UL	0.202637	202	6	2	7	2	1	0	12465	28	0	32.4788 	0	0
DL	0.202708	202	7	1	1	2	1	0	1776	28	0	32.4788	 	0	0
UL	0.202742	202	7	2	8	2	1	0	14247	28	0	32.4788 	0	0
DL	0.202808	202	8	1	1	2	1	0	1776	28	0	32.4788	 	0	0
UL	0.202842	202	8	2	8	2	1	0	14247	28	0	32.4788 	0	0
DL	0.202908	202	9	1	1	2	1	0	1776	28	0	32.4788	 	0	0
UL	0.20295	202	9	2	10	2	1	0	17809	28	0	32.4788 	0	0
DL	0.203008	203	0	1	1	2	1	0	1776	28	0	32.4478	 	0	0
UL	0.203083	203	0	2	18	2	1	0	32063	28	0	32.4478 	0	0
UL	0.203179	203	1	1	18	2	1	0	32063	28	0	32.4478 	0	0
DL	0.203208	203	2	1	1	2	1	0	1776	28	0	32.4478	 	0	0
UL	0.203262	203	2	2	13	2	1	0	23154	28	0	32.4478 	0	0
DL	0.203308	203	3	1	1	2	1	0	1776	28	0	32.4478	 	0	0
UL	0.203337	203	3	2	7	2	1	0	12465	28	0	32.4478 	0	0
DL	0.203408	203	4	1	1	2	1	0	1776	28	0	32.4478	 	0	0
UL	0.203437	203	4	2	7	2	1	0	12465	28	0	32.4478 	0	0
DL	0.203508	203	5	1	1	2	1	0	1776	28	0	32.4478	 	0	0
UL	0.203537	203	5	2	7	2	1	0	12465	28	0	32.4478 	0	0
DL	0.203608	203	6	1	1	2	1	0	1776	28	0	32.4478	 	0	0
UL	0.203642	203	6	2	8	2	1	0	14247	28	0	32.4478 	0	0
DL	0.203708	203	7	1	1	2	1	0	1776	28	0	32.4478	 	0	0
UL	0.203742	203	7	2	8	2	1	0	14247	28	0	32.4478 	0	0
DL	0.203808	203	8	1	1	2	1	0	1776	28	0	32.4478	 	0	0
UL	0.20385	203	8	2	10	2	1	0	17809	28	0	32.4478 	0	0
DL	0.203908	203	9	1	1	2	1	0	1776	28	0	32.4478	 	0	0
UL	0.203942	203	9	2	8	2	1	0	14247	28	0	32.4478 	0	0
DL	0.204008	204	0	1	1	2	1	0	1776	28	0	32.512	 	0	0
UL	0.204083	204	0	2	18	2	1	0	32063	28	0	32.512 	0	0
UL	0.204158	204	1	1	13	2	1	0	23154	28	0	32.512 	0	0
